Title,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,Release Year
Justice League ,229024295,428902692,657926987,action adventure fantasy scifi,2017
Star Trek Into Darkness ,228778661,238586585,467365246,action adventure scifi,2013
The Martian ,228433663,401728785,630162448,adventure drama scifi,2015
Signs ,227966634,180281283,408247917,drama mystery scifi thriller,2002
Hancock ,227946274,401497154,629443428,action drama fantasy,2008
The Bourne Ultimatum ,227471070,216628965,444100035,action mystery thriller,2007
Logan ,226277068,392902882,619179950,action drama scifi thriller,2017
Rush Hour 2 ,226164286,121161516,347325802,action comedy crime thriller,2001
The Fate of the Furious ,226008385,1009996733,1236005118,action crime thriller,2017
Shang-Chi and the Legend of the Ten Rings ,224543292,207689718,432233010,action adventure fantasy scifi,2021
WALL-E ,223808164,297503726,521311890,adventure animation family scifi,2008
Big Hero 6 ,222527828,435341858,657869686,action adventure animation comedy family scifi,2014
Mission: Impossible - Fallout ,220159104,571498294,791657398,action adventure thriller,2018
National Treasure: Book of Secrets ,219964115,239278134,459242249,action adventure mystery thriller,2007
Alvin and the Chipmunks: The Squeakquel ,219614612,223525393,443140005,adventure animation comedy drama family fantasy music musical,2009
Mrs. Doubtfire ,219195243,222090952,441286195,comedy drama family,1993
Beauty and the Beast ,218967620,186043788,424967620,animation family fantasy musical romance,1991
Ted ,218815487,330552828,549368315,comedy,2012
King Kong ,218080025,338826353,556906378,action adventure drama romance,2005
Ghost ,217631306,288072251,505703557,drama fantasy romance thriller,1990
How to Train Your Dragon ,217581231,277298240,494879471,action adventure animation comedy family fantasy,2010
The Da Vinci Code ,217536138,542470807,760006945,mystery thriller,2006
Aladdin ,217350219,286700000,504050219,adventure animation comedy family fantasy musical romance,1992
Alvin and the Chipmunks ,217326974,148025572,365352546,adventure animation comedy drama family fantasy music musical,2007
Saving Private Ryan ,217049603,265300000,482349603,drama war,1998
Bohemian Rhapsody ,216668042,694141269,910809311,biography drama music,2018
Ant-Man and the Wasp ,216648740,406025399,622674139,action adventure comedy scifi,2018
Madagascar 3: Europe's Most Wanted ,216391482,530529792,746921274,adventure animation comedy family,2012
Kung Fu Panda ,215434591,416311606,631746197,action adventure animation comedy family fantasy,2008
Mission: Impossible II ,215409889,330978219,546388108,action adventure thriller,2000
A Star Is Born ,215288866,220900000,436188866,drama music romance,2018
X2: X-Men United ,214949694,192761855,407711549,action scifi thriller,2003
The Lorax ,214030500,134809816,348840316,adventure animation comedy drama family fantasy musical,2012
Solo: A Star Wars Story ,213767512,179157295,392924807,action adventure scifi,2018
Venom ,213515506,642569645,856085151,action adventure scifi,2018
Austin Powers in Goldmember ,213307889,83630912,296938801,action adventure comedy crime,2002
Venom: Let There Be Carnage ,212638437,288500000,501138437,action adventure scifi thriller,2021
It Chapter Two ,211593228,261500000,473093228,drama fantasy horror,2019
Back to the Future ,211406762,170500000,381906762,adventure comedy scifi,1985
300 ,210614939,245453242,456068181,action drama,2006
Coco ,210460015,597357873,807817888,adventure animation comedy family fantasy music mystery,2017
Fast Five ,209837675,416300000,626137675,action crime thriller,2011
Mission: Impossible - Ghost Protocol ,209397903,485315477,694713380,action adventure thriller,2011
Wedding Crashers ,209255921,79211724,288467645,comedy romance,2005
Sherlock Holmes ,209028679,315000000,524028679,action adventure mystery,2009
Dawn of the Planet of the Apes ,208545589,502098977,710644566,action adventure drama scifi thriller,2014
Batman Begins ,206852432,166809514,373661946,action crime drama,2005
Charlie and the Chocolate Factory ,206459076,268509687,474968763,adventure comedy family fantasy musical,2005
Ratatouille ,206445654,417280431,623726085,adventure animation comedy family fantasy,2007
Thor: The Dark World ,206362140,438421000,644783140,action adventure fantasy,2013
Bad Boys for Life ,206305244,220200000,426505244,action comedy crime thriller,2020
Austin Powers: The Spy Who Shagged Me ,206040086,105976842,312016928,action adventure comedy crime,1999
Terminator 2: Judgment Day ,205881154,312106698,520881154,action scifi,1991
The Amazing Spider-Man 2 ,202853933,506128390,708982323,action adventure scifi,2014
World War Z ,202807711,337648165,540455876,action adventure horror scifi,2013
The Mummy Returns ,202019785,241261119,443280904,action adventure fantasy thriller,2001
Armageddon ,201578182,352131606,553709788,action adventure scifi thriller,1998
Cinderella ,201151353,341206978,542358331,adventure drama family fantasy romance,2015
Ralph Breaks the Internet ,201091711,328232251,529323962,adventure animation comedy family fantasy scifi,2018
Tangled ,200821936,391640880,592462816,adventure animation comedy family fantasy musical romance,2010
Godzilla ,200676069,324300000,524976069,action adventure scifi thriller,2014
Superman Returns ,200081192,191000000,391081192,action adventure scifi,2006
Spectre ,200074609,680606910,880681519,action adventure thriller,2015
Pearl Harbor ,198542554,250678391,449220945,action drama history romance war,2001
Monsters vs. Aliens ,198351526,183158344,381509870,action adventure animation comedy family fantasy scifi,2009
Happy Feet ,198000317,186335791,384336108,adventure animation comedy family music musical romance,2006
Indiana Jones and the Last Crusade ,197171806,277000000,474171806,action adventure,1989
Ice Age: Dawn of the Dinosaurs ,196573705,690113112,886686817,adventure animation comedy family,2009
Ice Age: The Meltdown ,195330621,471763885,667094506,adventure animation comedy family,2006
Mission: Impossible - Rogue Nation ,195042377,487674259,682716636,action adventure thriller,2015
Twilight ,193962473,214467942,408430415,drama fantasy romance,2008
Men in Black II ,193735288,251400000,445135288,action adventure comedy mystery scifi,2002
Madagascar ,193595521,348468325,542063846,adventure animation comedy family,2005
22 Jump Street ,191719337,139614539,331333876,action comedy crime,2014
Cars 2 ,191452396,368400000,559852396,adventure animation comedy family sport,2011
Teenage Mutant Ninja Turtles ,191204754,293800000,485004754,action adventure animation comedy scifi,2014
Spider-Man: Into the Spider-Verse ,190241310,185299521,375540831,action adventure animation comedy family fantasy scifi,2018
Grease ,190071103,206200000,396271103,comedy musical romance,1978
Dunkirk ,189740665,337275642,527016307,action drama history thriller war,2017
Wreck-It Ralph ,189422889,281800000,471222889,adventure animation comedy family fantasy scifi,2012
A Quiet Place ,188024361,152928610,340952971,drama horror scifi,2018
Interstellar ,188020017,513709189,701729206,adventure drama scifi,2014
The Polar Express ,187935490,126279964,314215454,adventure animation comedy family fantasy musical,2004
Gladiator ,187705427,277675375,465380802,action adventure drama,2000
The Croods ,187168425,400067558,587235983,adventure animation comedy family fantasy,2013
Sherlock Holmes: A Game of Shadows ,186848418,357000000,543848418,action adventure mystery,2011
The Day After Tomorrow ,186740799,365898772,552639571,action adventure scifi thriller,2004
Mr. & Mrs. Smith ,186336279,300951367,487287646,action comedy crime thriller,2005
Snow White and the Seven Dwarfs ,184925486,184925486,184925486,adventure animation family fantasy musical romance,1937
Pitch Perfect 2 ,184296230,102847849,287144079,comedy music,2015
Dances with Wolves ,184208848,240000000,424208848,adventure drama western,1990
Batman Forever ,184069126,152498032,336567158,action adventure,1995
The Fugitive ,183875760,185000000,368875760,action crime drama mystery thriller,1993
Black Widow ,183651655,195979696,379631351,action adventure scifi,2021
The Revenant ,183637894,349312609,532950503,action adventure drama history western,2015
Ocean's Eleven ,183417150,267300000,450717150,crime thriller,2001
The Simpsons Movie ,183135014,353279279,536414293,adventure animation comedy,2007
What Women Want ,182811707,191300000,374111707,comedy fantasy romance,2000
The Perfect Storm ,182618434,146100000,328718434,action adventure drama thriller,2000
Lincoln ,182207973,93085477,275293450,biography drama history war,2012
Liar Liar ,181410615,121300000,302710615,comedy fantasy,1997
Jurassic Park III ,181171875,187608934,368780809,action adventure scifi thriller,2001
Thor ,181030624,268295994,449326618,action adventure fantasy,2011
Mission: Impossible ,180981856,276714535,457696391,action adventure thriller,1996
Ant-Man ,180202163,339109802,519311965,action adventure comedy scifi,2015
Planet of the Apes ,180011740,182200000,362211740,action adventure scifi thriller,2001
Madagascar: Escape 2 Africa ,180010950,423889404,603900354,adventure animation comedy family,2008
X-Men Origins: Wolverine ,179883157,193179707,373062864,action scifi,2009
Indiana Jones and the Temple of Doom ,179870271,153237000,333107271,action adventure,1984
Hitch ,179495555,192098655,371594210,comedy romance,2005
Men in Black 3 ,179020854,445005922,624026776,action adventure comedy scifi,2012
Pretty Woman ,178406268,285000000,463406268,comedy romance,1990
Home ,177397510,208644097,386041607,adventure animation comedy family fantasy scifi,2015
Night at the Museum: Battle of the Smithsonian ,177243721,235862449,413106170,adventure comedy family fantasy,2009
Tootsie ,177200000,177200000,177200000,comedy drama romance,1982
How to Train Your Dragon 2 ,177002924,444534595,621537519,action adventure animation comedy family fantasy,2014
Rise of the Planet of the Apes ,176760185,305040688,481800873,action drama scifi thriller,2011
Captain America: The First Avenger ,176654505,193915269,370569774,action adventure scifi,2011
Elf ,176630408,47223328,223853736,adventure comedy family fantasy romance,2003
The Karate Kid ,176591618,182534404,359126022,action drama family sport,2010
There's Something About Mary ,176484651,193400000,369884651,comedy romance,1998
Ice Age ,176387405,206869731,383257136,adventure animation comedy family,2002
The Bourne Supremacy ,176241941,114593328,290835269,action mystery thriller,2004
The Lego Batman Movie ,175750384,136200000,311950384,action adventure animation comedy family fantasy scifi,2017
Us ,175084580,80100902,255185482,horror mystery thriller,2019
The Boss Baby ,175003033,352962903,527965936,adventure animation comedy family fantasy,2017
Crazy Rich Asians ,174532921,64006277,238539198,comedy drama romance,2018
The Greatest Showman ,174340174,262609460,436949634,biography drama musical,2017
Fast & Furious Presents: Hobbs & Shaw ,173956935,585100000,759056935,action adventure thriller,2019
Apollo 13 ,173837933,181077570,355237933,adventure drama history,1995
Home Alone 2: Lost in New York ,173585516,185409334,358994850,adventure comedy crime family,1992
National Treasure ,173008894,174503424,347512318,action adventure mystery thriller,2004
F9: The Fast Saga ,173005945,553223556,726229501,action crime thriller,2021
Air Force One ,172956409,142200000,315156409,action drama thriller,1997
Rain Man ,172825435,182000000,354825435,drama,1988
Pirates of the Caribbean: Dead Men Tell No Tales ,172558876,622322566,794881442,action adventure fantasy,2017
TRON: Legacy ,172062763,228001089,400063852,action adventure scifi,2010
Mary Poppins Returns ,171958438,177587704,349546142,adventure comedy family fantasy musical,2018
The Matrix ,171479930,295145800,466625730,action scifi,1999
True Grit ,171243005,81033922,252276927,drama western,2010
Tarzan ,171091819,277100000,448191819,adventure animation comedy drama family music,1999
John Wick: Chapter 3 - Parabellum ,171015687,156266092,327281779,action crime thriller,2019
A Beautiful Mind ,170742341,146048916,316791257,biography drama,2001
Chicago ,170687518,136089214,306776732,comedy crime musical,2002
The Help ,169708112,46931000,216639112,drama,2011
Hotel Transylvania 2 ,169700110,305486596,475186706,adventure animation comedy family fantasy horror,2015
Hidden Figures ,169607287,66349611,235956898,biography drama history,2016
Bridesmaids ,169106725,119276798,288383523,comedy romance,2011
Quantum of Solace ,168368427,421212055,589580482,action adventure thriller,2008
Wild Hogs ,168273550,85351877,253625427,action adventure comedy,2007
Kong: Skull Island ,168052812,398600000,566652812,action adventure fantasy scifi,2017
Three Men and a Baby ,167780960,167780960,167780960,comedy drama family,1987
Gone Girl ,167767189,201563174,369330363,drama mystery thriller,2014
Hotel Transylvania 3: Summer Vacation ,167510016,361073758,528583774,adventure animation comedy family fantasy horror,2018
Casino Royale ,167445960,449056952,616502912,action adventure thriller,2006
Meet the Parents ,166244045,164200000,330444045,comedy romance,2000
Fifty Shades of Grey ,166167230,403484237,569651467,drama romance thriller,2015
2012 ,166112167,625105659,791217826,action adventure scifi,2009
Robin Hood: Prince of Thieves ,165493908,225000000,390493908,action adventure drama romance,1991
Knives Out ,165363234,146242347,311605581,comedy crime drama mystery thriller,2019
Kung Fu Panda 2 ,165249063,500443218,665692281,action adventure animation comedy family fantasy,2011
Hannibal ,165092268,186600000,351692268,crime drama thriller,2001
Eternals ,164819595,237027887,401847482,action adventure fantasy scifi,2021
Catch Me If You Can ,164615351,187498961,352114312,biography crime drama,2002
The Proposal ,163958031,153417000,317375031,comedy drama romance,2009
The Pursuit of Happyness ,163566459,143561166,307127625,biography drama,2006
Big Daddy ,163479795,71322100,234801895,comedy drama,1999
Clash of the Titans ,163214888,330000105,493214993,action adventure fantasy,2010
The SpongeBob Movie: Sponge Out of Water ,162994032,162192000,325186032,adventure animation comedy family fantasy,2015
Batman Returns ,162902340,103990656,266892996,action crime fantasy,1992
Django Unchained ,162805434,263268939,426074373,drama western,2012
A Bug's Life ,162798565,200460294,363258859,adventure animation comedy family fantasy,1998
Jason Bourne ,162434410,253050504,415484914,action thriller,2016
Grown Ups ,162001186,109456115,271457301,comedy,2010
The Waterboy ,161491646,24500000,185991646,comedy sport,1998
Ice Age: Continental Drift ,161321843,715922939,877244782,adventure animation comedy family,2012
Straight Outta Compton ,161197785,40437206,201634991,biography drama history music,2015
Die Another Day ,160942139,271028977,431971116,action adventure thriller,2002
Shark Tale ,160861908,213721971,374583879,adventure animation comedy family thriller,2004
How to Train Your Dragon: The Hidden World ,160799505,363589578,524389083,action adventure animation comedy family fantasy,2019
No Time to Die ,160772007,613262000,774034007,action adventure thriller,2021
A Quiet Place Part II ,160072261,137300000,297372261,drama horror scifi thriller,2020
The Heat ,159582188,70348583,229930771,action comedy crime,2013
Fantastic Beasts: The Crimes of Grindelwald ,159555901,495300000,654855901,adventure family fantasy,2018
Halloween ,159342015,96272926,255614941,crime horror thriller,2018
1917 ,159227644,225691745,384919389,action drama war,2019
The Secret Life of Pets 2 ,158874395,271176898,430051293,adventure animation comedy family,2019
Star Trek Beyond ,158848340,184623476,343471816,action adventure scifi thriller,2016
The Firm ,158348367,111900000,270248367,drama mystery thriller,1993
The Longest Yard ,158119460,33347096,191466556,comedy crime sport,2005
X-Men ,157299718,139039810,296339528,action adventure scifi,2000
Scary Movie ,157019771,121000000,278019771,comedy,2000
Who Framed Roger Rabbit ,156452370,173351588,329803958,adventure animation comedy crime family fantasy mystery,1988
What Lies Beneath ,155464351,135956000,291420351,drama horror mystery thriller,2000
X-Men: Apocalypse ,155442489,388491616,543934105,action adventure scifi,2016
The Mummy ,155385488,260547918,415933406,action adventure fantasy,1999
Snow White and the Huntsman ,155332381,241260448,396592829,action adventure drama fantasy,2012
San Andreas ,155190832,318818322,474009154,action adventure thriller,2015
Fast & Furious ,155064265,205302605,360366870,action crime thriller,2009
Over the Hedge ,155019340,184776550,339795890,adventure animation comedy family,2006
Fantastic Four ,154696080,178839854,333535934,action adventure fantasy scifi,2005
Horton Hears a Who! ,154529439,144043360,298572799,adventure animation comedy drama family fantasy music,2008
Mad Max: Fury Road ,154058340,221600410,375658750,action adventure scifi thriller,2015
Jerry Maguire ,153952592,119600000,273552592,comedy drama romance sport,1996
Trolls ,153707064,193157822,346864886,adventure animation comedy family fantasy musical romance,2016
Scooby-Doo ,153294164,122356539,275650703,adventure comedy family fantasy mystery,2002
Cars 3 ,152901115,231029541,383930656,adventure animation comedy family sport,2017
Sex and the City ,152647258,266118261,418765519,comedy drama romance,2008
Runaway Bride ,152257509,157202783,309460292,comedy romance,1999
La La Land ,151101803,297805062,448906865,comedy drama music musical romance,2016
Divergent ,150947895,137937923,288885818,action adventure mystery scifi,2014
We're the Millers ,150394119,119600000,269994119,comedy crime,2013
Terminator 3: Rise of the Machines ,150371112,283000000,433371112,action scifi,2003
Daddy's Home ,150357137,92429000,242786137,comedy family,2015
G.I. Joe: The Rise of Cobra ,150201498,152267519,302469017,action adventure scifi thriller,2009
Neighbors ,150157400,120507734,270665134,comedy,2014
American Hustle ,150117807,101054000,251171807,crime drama,2013
Puss in Boots ,149260504,405726973,554987477,adventure animation comedy family fantasy,2011
Sonic the Hedgehog ,148974665,170741018,319715683,action adventure comedy scifi,2020
Les Misérables ,148809770,293489539,442299309,drama musical romance,2012
Knocked Up ,148768917,71153500,219922417,comedy romance,2007
As Good as It Gets ,148478011,165700000,314178011,comedy drama romance,1997
Little Fockers ,148438600,162211985,310650585,comedy romance,2010
Megamind ,148415853,173469912,321885765,action animation comedy crime family mystery scifi thriller,2010
Hotel Transylvania ,148313048,210062555,358375603,animation comedy family fantasy horror,2012
Talladega Nights: The Ballad of Ricky Bobby ,148213377,15148718,163362095,comedy sport,2006
Gran Torino ,148095302,121862926,269958228,drama,2008
Lethal Weapon 2 ,147253986,80600000,227853986,action crime thriller,1989
