,Title,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,Release Year
185,A Star Is Born ,215288866,220900000,436188866,romance,2018
186,X2: X-Men United ,214949694,192761855,407711549,action,2003
186,X2: X-Men United ,214949694,192761855,407711549,scifi,2003
186,X2: X-Men United ,214949694,192761855,407711549,thriller,2003
187,The Lorax ,214030500,134809816,348840316,adventure,2012
187,The Lorax ,214030500,134809816,348840316,animation,2012
187,The Lorax ,214030500,134809816,348840316,comedy,2012
187,The Lorax ,214030500,134809816,348840316,drama,2012
187,The Lorax ,214030500,134809816,348840316,family,2012
187,The Lorax ,214030500,134809816,348840316,fantasy,2012
187,The Lorax ,214030500,134809816,348840316,musical,2012
188,Solo: A Star Wars Story ,213767512,179157295,392924807,action,2018
188,Solo: A Star Wars Story ,213767512,179157295,392924807,adventure,2018
188,Solo: A Star Wars Story ,213767512,179157295,392924807,scifi,2018
189,Venom ,213515506,642569645,856085151,action,2018
189,Venom ,213515506,642569645,856085151,adventure,2018
189,Venom ,213515506,642569645,856085151,scifi,2018
190,Austin Powers in Goldmember ,213307889,83630912,296938801,action,2002
190,Austin Powers in Goldmember ,213307889,83630912,296938801,adventure,2002
190,Austin Powers in Goldmember ,213307889,83630912,296938801,comedy,2002
190,Austin Powers in Goldmember ,213307889,83630912,296938801,crime,2002
191,Venom: Let There Be Carnage ,212638437,288500000,501138437,action,2021
191,Venom: Let There Be Carnage ,212638437,288500000,501138437,adventure,2021
191,Venom: Let There Be Carnage ,212638437,288500000,501138437,scifi,2021
191,Venom: Let There Be Carnage ,212638437,288500000,501138437,thriller,2021
192,It Chapter Two ,211593228,261500000,473093228,drama,2019
192,It Chapter Two ,211593228,261500000,473093228,fantasy,2019
192,It Chapter Two ,211593228,261500000,473093228,horror,2019
193,Back to the Future ,211406762,170500000,381906762,adventure,1985
193,Back to the Future ,211406762,170500000,381906762,comedy,1985
193,Back to the Future ,211406762,170500000,381906762,scifi,1985
194,300 ,210614939,245453242,456068181,action,2006
194,300 ,210614939,245453242,456068181,drama,2006
195,Coco ,210460015,597357873,807817888,adventure,2017
195,Coco ,210460015,597357873,807817888,animation,2017
195,Coco ,210460015,597357873,807817888,comedy,2017
195,Coco ,210460015,597357873,807817888,family,2017
195,Coco ,210460015,597357873,807817888,fantasy,2017
195,Coco ,210460015,597357873,807817888,music,2017
195,Coco ,210460015,597357873,807817888,mystery,2017
196,Fast Five ,209837675,416300000,626137675,action,2011
196,Fast Five ,209837675,416300000,626137675,crime,2011
196,Fast Five ,209837675,416300000,626137675,thriller,2011
197,Mission: Impossible - Ghost Protocol ,209397903,485315477,694713380,action,2011
197,Mission: Impossible - Ghost Protocol ,209397903,485315477,694713380,adventure,2011
197,Mission: Impossible - Ghost Protocol ,209397903,485315477,694713380,thriller,2011
198,Wedding Crashers ,209255921,79211724,288467645,comedy,2005
198,Wedding Crashers ,209255921,79211724,288467645,romance,2005
199,Sherlock Holmes ,209028679,315000000,524028679,action,2009
199,Sherlock Holmes ,209028679,315000000,524028679,adventure,2009
199,Sherlock Holmes ,209028679,315000000,524028679,mystery,2009
200,Dawn of the Planet of the Apes ,208545589,502098977,710644566,action,2014
200,Dawn of the Planet of the Apes ,208545589,502098977,710644566,adventure,2014
200,Dawn of the Planet of the Apes ,208545589,502098977,710644566,drama,2014
200,Dawn of the Planet of the Apes ,208545589,502098977,710644566,scifi,2014
200,Dawn of the Planet of the Apes ,208545589,502098977,710644566,thriller,2014
201,Batman Begins ,206852432,166809514,373661946,action,2005
201,Batman Begins ,206852432,166809514,373661946,crime,2005
201,Batman Begins ,206852432,166809514,373661946,drama,2005
202,Charlie and the Chocolate Factory ,206459076,268509687,474968763,adventure,2005
202,Charlie and the Chocolate Factory ,206459076,268509687,474968763,comedy,2005
202,Charlie and the Chocolate Factory ,206459076,268509687,474968763,family,2005
202,Charlie and the Chocolate Factory ,206459076,268509687,474968763,fantasy,2005
202,Charlie and the Chocolate Factory ,206459076,268509687,474968763,musical,2005
203,Ratatouille ,206445654,417280431,623726085,adventure,2007
203,Ratatouille ,206445654,417280431,623726085,animation,2007
203,Ratatouille ,206445654,417280431,623726085,comedy,2007
203,Ratatouille ,206445654,417280431,623726085,family,2007
203,Ratatouille ,206445654,417280431,623726085,fantasy,2007
204,Thor: The Dark World ,206362140,438421000,644783140,action,2013
204,Thor: The Dark World ,206362140,438421000,644783140,adventure,2013
204,Thor: The Dark World ,206362140,438421000,644783140,fantasy,2013
205,Bad Boys for Life ,206305244,220200000,426505244,action,2020
205,Bad Boys for Life ,206305244,220200000,426505244,comedy,2020
205,Bad Boys for Life ,206305244,220200000,426505244,crime,2020
205,Bad Boys for Life ,206305244,220200000,426505244,thriller,2020
206,Austin Powers: The Spy Who Shagged Me ,206040086,105976842,312016928,action,1999
206,Austin Powers: The Spy Who Shagged Me ,206040086,105976842,312016928,adventure,1999
206,Austin Powers: The Spy Who Shagged Me ,206040086,105976842,312016928,comedy,1999
206,Austin Powers: The Spy Who Shagged Me ,206040086,105976842,312016928,crime,1999
207,Terminator 2: Judgment Day ,205881154,312106698,520881154,action,1991
207,Terminator 2: Judgment Day ,205881154,312106698,520881154,scifi,1991
208,The Amazing Spider-Man 2 ,202853933,506128390,708982323,action,2014
208,The Amazing Spider-Man 2 ,202853933,506128390,708982323,adventure,2014
208,The Amazing Spider-Man 2 ,202853933,506128390,708982323,scifi,2014
209,World War Z ,202807711,337648165,540455876,action,2013
209,World War Z ,202807711,337648165,540455876,adventure,2013
209,World War Z ,202807711,337648165,540455876,horror,2013
209,World War Z ,202807711,337648165,540455876,scifi,2013
210,The Mummy Returns ,202019785,241261119,443280904,action,2001
210,The Mummy Returns ,202019785,241261119,443280904,adventure,2001
210,The Mummy Returns ,202019785,241261119,443280904,fantasy,2001
210,The Mummy Returns ,202019785,241261119,443280904,thriller,2001
211,Armageddon ,201578182,352131606,553709788,action,1998
211,Armageddon ,201578182,352131606,553709788,adventure,1998
211,Armageddon ,201578182,352131606,553709788,scifi,1998
211,Armageddon ,201578182,352131606,553709788,thriller,1998
212,Cinderella ,201151353,341206978,542358331,adventure,2015
212,Cinderella ,201151353,341206978,542358331,drama,2015
212,Cinderella ,201151353,341206978,542358331,family,2015
212,Cinderella ,201151353,341206978,542358331,fantasy,2015
212,Cinderella ,201151353,341206978,542358331,romance,2015
213,Ralph Breaks the Internet ,201091711,328232251,529323962,adventure,2018
213,Ralph Breaks the Internet ,201091711,328232251,529323962,animation,2018
213,Ralph Breaks the Internet ,201091711,328232251,529323962,comedy,2018
213,Ralph Breaks the Internet ,201091711,328232251,529323962,family,2018
213,Ralph Breaks the Internet ,201091711,328232251,529323962,fantasy,2018
213,Ralph Breaks the Internet ,201091711,328232251,529323962,scifi,2018
214,Tangled ,200821936,391640880,592462816,adventure,2010
214,Tangled ,200821936,391640880,592462816,animation,2010
214,Tangled ,200821936,391640880,592462816,comedy,2010
214,Tangled ,200821936,391640880,592462816,family,2010
214,Tangled ,200821936,391640880,592462816,fantasy,2010
214,Tangled ,200821936,391640880,592462816,musical,2010
214,Tangled ,200821936,391640880,592462816,romance,2010
215,Godzilla ,200676069,324300000,524976069,action,2014
215,Godzilla ,200676069,324300000,524976069,adventure,2014
215,Godzilla ,200676069,324300000,524976069,scifi,2014
215,Godzilla ,200676069,324300000,524976069,thriller,2014
216,Superman Returns ,200081192,191000000,391081192,action,2006
216,Superman Returns ,200081192,191000000,391081192,adventure,2006
216,Superman Returns ,200081192,191000000,391081192,scifi,2006
217,Spectre ,200074609,680606910,880681519,action,2015
217,Spectre ,200074609,680606910,880681519,adventure,2015
217,Spectre ,200074609,680606910,880681519,thriller,2015
218,Pearl Harbor ,198542554,250678391,449220945,action,2001
218,Pearl Harbor ,198542554,250678391,449220945,drama,2001
218,Pearl Harbor ,198542554,250678391,449220945,history,2001
218,Pearl Harbor ,198542554,250678391,449220945,romance,2001
218,Pearl Harbor ,198542554,250678391,449220945,war,2001
219,Monsters vs. Aliens ,198351526,183158344,381509870,action,2009
219,Monsters vs. Aliens ,198351526,183158344,381509870,adventure,2009
219,Monsters vs. Aliens ,198351526,183158344,381509870,animation,2009
219,Monsters vs. Aliens ,198351526,183158344,381509870,comedy,2009
219,Monsters vs. Aliens ,198351526,183158344,381509870,family,2009
219,Monsters vs. Aliens ,198351526,183158344,381509870,fantasy,2009
219,Monsters vs. Aliens ,198351526,183158344,381509870,scifi,2009
220,Happy Feet ,198000317,186335791,384336108,adventure,2006
220,Happy Feet ,198000317,186335791,384336108,animation,2006
220,Happy Feet ,198000317,186335791,384336108,comedy,2006
220,Happy Feet ,198000317,186335791,384336108,family,2006
220,Happy Feet ,198000317,186335791,384336108,music,2006
220,Happy Feet ,198000317,186335791,384336108,musical,2006
220,Happy Feet ,198000317,186335791,384336108,romance,2006
221,Indiana Jones and the Last Crusade ,197171806,277000000,474171806,action,1989
221,Indiana Jones and the Last Crusade ,197171806,277000000,474171806,adventure,1989
222,Ice Age: Dawn of the Dinosaurs ,196573705,690113112,886686817,adventure,2009
222,Ice Age: Dawn of the Dinosaurs ,196573705,690113112,886686817,animation,2009
222,Ice Age: Dawn of the Dinosaurs ,196573705,690113112,886686817,comedy,2009
222,Ice Age: Dawn of the Dinosaurs ,196573705,690113112,886686817,family,2009
223,Ice Age: The Meltdown ,195330621,471763885,667094506,adventure,2006
223,Ice Age: The Meltdown ,195330621,471763885,667094506,animation,2006
223,Ice Age: The Meltdown ,195330621,471763885,667094506,comedy,2006
223,Ice Age: The Meltdown ,195330621,471763885,667094506,family,2006
224,Mission: Impossible - Rogue Nation ,195042377,487674259,682716636,action,2015
224,Mission: Impossible - Rogue Nation ,195042377,487674259,682716636,adventure,2015
224,Mission: Impossible - Rogue Nation ,195042377,487674259,682716636,thriller,2015
225,Twilight ,193962473,214467942,408430415,drama,2008
225,Twilight ,193962473,214467942,408430415,fantasy,2008
225,Twilight ,193962473,214467942,408430415,romance,2008
226,Men in Black II ,193735288,251400000,445135288,action,2002
226,Men in Black II ,193735288,251400000,445135288,adventure,2002
226,Men in Black II ,193735288,251400000,445135288,comedy,2002
226,Men in Black II ,193735288,251400000,445135288,mystery,2002
226,Men in Black II ,193735288,251400000,445135288,scifi,2002
227,Madagascar ,193595521,348468325,542063846,adventure,2005
227,Madagascar ,193595521,348468325,542063846,animation,2005
227,Madagascar ,193595521,348468325,542063846,comedy,2005
227,Madagascar ,193595521,348468325,542063846,family,2005
228,22 Jump Street ,191719337,139614539,331333876,action,2014
228,22 Jump Street ,191719337,139614539,331333876,comedy,2014
228,22 Jump Street ,191719337,139614539,331333876,crime,2014
229,Cars 2 ,191452396,368400000,559852396,adventure,2011
229,Cars 2 ,191452396,368400000,559852396,animation,2011
229,Cars 2 ,191452396,368400000,559852396,comedy,2011
229,Cars 2 ,191452396,368400000,559852396,family,2011
229,Cars 2 ,191452396,368400000,559852396,sport,2011
230,Teenage Mutant Ninja Turtles ,191204754,293800000,485004754,action,2014
230,Teenage Mutant Ninja Turtles ,191204754,293800000,485004754,adventure,2014
230,Teenage Mutant Ninja Turtles ,191204754,293800000,485004754,animation,2014
230,Teenage Mutant Ninja Turtles ,191204754,293800000,485004754,comedy,2014
230,Teenage Mutant Ninja Turtles ,191204754,293800000,485004754,scifi,2014
231,Spider-Man: Into the Spider-Verse ,190241310,185299521,375540831,action,2018
231,Spider-Man: Into the Spider-Verse ,190241310,185299521,375540831,adventure,2018
231,Spider-Man: Into the Spider-Verse ,190241310,185299521,375540831,animation,2018
231,Spider-Man: Into the Spider-Verse ,190241310,185299521,375540831,comedy,2018
231,Spider-Man: Into the Spider-Verse ,190241310,185299521,375540831,family,2018
231,Spider-Man: Into the Spider-Verse ,190241310,185299521,375540831,fantasy,2018
231,Spider-Man: Into the Spider-Verse ,190241310,185299521,375540831,scifi,2018
232,Grease ,190071103,206200000,396271103,comedy,1978
232,Grease ,190071103,206200000,396271103,musical,1978
232,Grease ,190071103,206200000,396271103,romance,1978
233,Dunkirk ,189740665,337275642,527016307,action,2017
233,Dunkirk ,189740665,337275642,527016307,drama,2017
233,Dunkirk ,189740665,337275642,527016307,history,2017
233,Dunkirk ,189740665,337275642,527016307,thriller,2017
233,Dunkirk ,189740665,337275642,527016307,war,2017
234,Wreck-It Ralph ,189422889,281800000,471222889,adventure,2012
234,Wreck-It Ralph ,189422889,281800000,471222889,animation,2012
234,Wreck-It Ralph ,189422889,281800000,471222889,comedy,2012
234,Wreck-It Ralph ,189422889,281800000,471222889,family,2012
234,Wreck-It Ralph ,189422889,281800000,471222889,fantasy,2012
234,Wreck-It Ralph ,189422889,281800000,471222889,scifi,2012
235,A Quiet Place ,188024361,152928610,340952971,drama,2018
235,A Quiet Place ,188024361,152928610,340952971,horror,2018
235,A Quiet Place ,188024361,152928610,340952971,scifi,2018
236,Interstellar ,188020017,513709189,701729206,adventure,2014
236,Interstellar ,188020017,513709189,701729206,drama,2014
236,Interstellar ,188020017,513709189,701729206,scifi,2014
237,The Polar Express ,187935490,126279964,314215454,adventure,2004
237,The Polar Express ,187935490,126279964,314215454,animation,2004
237,The Polar Express ,187935490,126279964,314215454,comedy,2004
237,The Polar Express ,187935490,126279964,314215454,family,2004
237,The Polar Express ,187935490,126279964,314215454,fantasy,2004
237,The Polar Express ,187935490,126279964,314215454,musical,2004
238,Gladiator ,187705427,277675375,465380802,action,2000
238,Gladiator ,187705427,277675375,465380802,adventure,2000
238,Gladiator ,187705427,277675375,465380802,drama,2000
239,The Croods ,187168425,400067558,587235983,adventure,2013
239,The Croods ,187168425,400067558,587235983,animation,2013
239,The Croods ,187168425,400067558,587235983,comedy,2013
239,The Croods ,187168425,400067558,587235983,family,2013
239,The Croods ,187168425,400067558,587235983,fantasy,2013
240,Sherlock Holmes: A Game of Shadows ,186848418,357000000,543848418,action,2011
240,Sherlock Holmes: A Game of Shadows ,186848418,357000000,543848418,adventure,2011
240,Sherlock Holmes: A Game of Shadows ,186848418,357000000,543848418,mystery,2011
241,The Day After Tomorrow ,186740799,365898772,552639571,action,2004
241,The Day After Tomorrow ,186740799,365898772,552639571,adventure,2004
241,The Day After Tomorrow ,186740799,365898772,552639571,scifi,2004
241,The Day After Tomorrow ,186740799,365898772,552639571,thriller,2004
242,Mr. & Mrs. Smith ,186336279,300951367,487287646,action,2005
242,Mr. & Mrs. Smith ,186336279,300951367,487287646,comedy,2005
242,Mr. & Mrs. Smith ,186336279,300951367,487287646,crime,2005
242,Mr. & Mrs. Smith ,186336279,300951367,487287646,thriller,2005
243,Snow White and the Seven Dwarfs ,184925486,184925486,184925486,adventure,1937
243,Snow White and the Seven Dwarfs ,184925486,184925486,184925486,animation,1937
243,Snow White and the Seven Dwarfs ,184925486,184925486,184925486,family,1937
243,Snow White and the Seven Dwarfs ,184925486,184925486,184925486,fantasy,1937
243,Snow White and the Seven Dwarfs ,184925486,184925486,184925486,musical,1937
243,Snow White and the Seven Dwarfs ,184925486,184925486,184925486,romance,1937
244,Pitch Perfect 2 ,184296230,102847849,287144079,comedy,2015
244,Pitch Perfect 2 ,184296230,102847849,287144079,music,2015
245,Dances with Wolves ,184208848,240000000,424208848,adventure,1990
245,Dances with Wolves ,184208848,240000000,424208848,drama,1990
245,Dances with Wolves ,184208848,240000000,424208848,western,1990
246,Batman Forever ,184069126,152498032,336567158,action,1995
246,Batman Forever ,184069126,152498032,336567158,adventure,1995
247,The Fugitive ,183875760,185000000,368875760,action,1993
247,The Fugitive ,183875760,185000000,368875760,crime,1993
247,The Fugitive ,183875760,185000000,368875760,drama,1993
247,The Fugitive ,183875760,185000000,368875760,mystery,1993
247,The Fugitive ,183875760,185000000,368875760,thriller,1993
248,Black Widow ,183651655,195979696,379631351,action,2021
248,Black Widow ,183651655,195979696,379631351,adventure,2021
248,Black Widow ,183651655,195979696,379631351,scifi,2021
249,The Revenant ,183637894,349312609,532950503,action,2015
249,The Revenant ,183637894,349312609,532950503,adventure,2015
249,The Revenant ,183637894,349312609,532950503,drama,2015
249,The Revenant ,183637894,349312609,532950503,history,2015
249,The Revenant ,183637894,349312609,532950503,western,2015
250,Ocean's Eleven ,183417150,267300000,450717150,crime,2001
250,Ocean's Eleven ,183417150,267300000,450717150,thriller,2001
251,The Simpsons Movie ,183135014,353279279,536414293,adventure,2007
251,The Simpsons Movie ,183135014,353279279,536414293,animation,2007
251,The Simpsons Movie ,183135014,353279279,536414293,comedy,2007
252,What Women Want ,182811707,191300000,374111707,comedy,2000
252,What Women Want ,182811707,191300000,374111707,fantasy,2000
252,What Women Want ,182811707,191300000,374111707,romance,2000
253,The Perfect Storm ,182618434,146100000,328718434,action,2000
253,The Perfect Storm ,182618434,146100000,328718434,adventure,2000
253,The Perfect Storm ,182618434,146100000,328718434,drama,2000
253,The Perfect Storm ,182618434,146100000,328718434,thriller,2000
254,Lincoln ,182207973,93085477,275293450,biography,2012
254,Lincoln ,182207973,93085477,275293450,drama,2012
254,Lincoln ,182207973,93085477,275293450,history,2012
254,Lincoln ,182207973,93085477,275293450,war,2012
255,Liar Liar ,181410615,121300000,302710615,comedy,1997
255,Liar Liar ,181410615,121300000,302710615,fantasy,1997
256,Jurassic Park III ,181171875,187608934,368780809,action,2001
256,Jurassic Park III ,181171875,187608934,368780809,adventure,2001
256,Jurassic Park III ,181171875,187608934,368780809,scifi,2001
256,Jurassic Park III ,181171875,187608934,368780809,thriller,2001
257,Thor ,181030624,268295994,449326618,action,2011
257,Thor ,181030624,268295994,449326618,adventure,2011
257,Thor ,181030624,268295994,449326618,fantasy,2011
258,Mission: Impossible ,180981856,276714535,457696391,action,1996
258,Mission: Impossible ,180981856,276714535,457696391,adventure,1996
258,Mission: Impossible ,180981856,276714535,457696391,thriller,1996
259,Ant-Man ,180202163,339109802,519311965,action,2015
259,Ant-Man ,180202163,339109802,519311965,adventure,2015
259,Ant-Man ,180202163,339109802,519311965,comedy,2015
259,Ant-Man ,180202163,339109802,519311965,scifi,2015
260,Planet of the Apes ,180011740,182200000,362211740,action,2001
260,Planet of the Apes ,180011740,182200000,362211740,adventure,2001
260,Planet of the Apes ,180011740,182200000,362211740,scifi,2001
260,Planet of the Apes ,180011740,182200000,362211740,thriller,2001
261,Madagascar: Escape 2 Africa ,180010950,423889404,603900354,adventure,2008
261,Madagascar: Escape 2 Africa ,180010950,423889404,603900354,animation,2008
261,Madagascar: Escape 2 Africa ,180010950,423889404,603900354,comedy,2008
261,Madagascar: Escape 2 Africa ,180010950,423889404,603900354,family,2008
262,X-Men Origins: Wolverine ,179883157,193179707,373062864,action,2009
262,X-Men Origins: Wolverine ,179883157,193179707,373062864,scifi,2009
263,Indiana Jones and the Temple of Doom ,179870271,153237000,333107271,action,1984
263,Indiana Jones and the Temple of Doom ,179870271,153237000,333107271,adventure,1984
264,Hitch ,179495555,192098655,371594210,comedy,2005
264,Hitch ,179495555,192098655,371594210,romance,2005
265,Men in Black 3 ,179020854,445005922,624026776,action,2012
265,Men in Black 3 ,179020854,445005922,624026776,adventure,2012
265,Men in Black 3 ,179020854,445005922,624026776,comedy,2012
265,Men in Black 3 ,179020854,445005922,624026776,scifi,2012
266,Pretty Woman ,178406268,285000000,463406268,comedy,1990
266,Pretty Woman ,178406268,285000000,463406268,romance,1990
267,Home ,177397510,208644097,386041607,adventure,2015
267,Home ,177397510,208644097,386041607,animation,2015
267,Home ,177397510,208644097,386041607,comedy,2015
267,Home ,177397510,208644097,386041607,family,2015
267,Home ,177397510,208644097,386041607,fantasy,2015
267,Home ,177397510,208644097,386041607,scifi,2015
268,Night at the Museum: Battle of the Smithsonian ,177243721,235862449,413106170,adventure,2009
268,Night at the Museum: Battle of the Smithsonian ,177243721,235862449,413106170,comedy,2009
268,Night at the Museum: Battle of the Smithsonian ,177243721,235862449,413106170,family,2009
268,Night at the Museum: Battle of the Smithsonian ,177243721,235862449,413106170,fantasy,2009
269,Tootsie ,177200000,177200000,177200000,comedy,1982
269,Tootsie ,177200000,177200000,177200000,drama,1982
269,Tootsie ,177200000,177200000,177200000,romance,1982
270,How to Train Your Dragon 2 ,177002924,444534595,621537519,action,2014
270,How to Train Your Dragon 2 ,177002924,444534595,621537519,adventure,2014
270,How to Train Your Dragon 2 ,177002924,444534595,621537519,animation,2014
270,How to Train Your Dragon 2 ,177002924,444534595,621537519,comedy,2014
270,How to Train Your Dragon 2 ,177002924,444534595,621537519,family,2014
270,How to Train Your Dragon 2 ,177002924,444534595,621537519,fantasy,2014
271,Rise of the Planet of the Apes ,176760185,305040688,481800873,action,2011
271,Rise of the Planet of the Apes ,176760185,305040688,481800873,drama,2011
271,Rise of the Planet of the Apes ,176760185,305040688,481800873,scifi,2011
271,Rise of the Planet of the Apes ,176760185,305040688,481800873,thriller,2011
272,Captain America: The First Avenger ,176654505,193915269,370569774,action,2011
272,Captain America: The First Avenger ,176654505,193915269,370569774,adventure,2011
272,Captain America: The First Avenger ,176654505,193915269,370569774,scifi,2011
273,Elf ,176630408,47223328,223853736,adventure,2003
273,Elf ,176630408,47223328,223853736,comedy,2003
273,Elf ,176630408,47223328,223853736,family,2003
273,Elf ,176630408,47223328,223853736,fantasy,2003
273,Elf ,176630408,47223328,223853736,romance,2003
274,The Karate Kid ,176591618,182534404,359126022,action,2010
274,The Karate Kid ,176591618,182534404,359126022,drama,2010
274,The Karate Kid ,176591618,182534404,359126022,family,2010
274,The Karate Kid ,176591618,182534404,359126022,sport,2010
275,There's Something About Mary ,176484651,193400000,369884651,comedy,1998
275,There's Something About Mary ,176484651,193400000,369884651,romance,1998
276,Ice Age ,176387405,206869731,383257136,adventure,2002
276,Ice Age ,176387405,206869731,383257136,animation,2002
276,Ice Age ,176387405,206869731,383257136,comedy,2002
276,Ice Age ,176387405,206869731,383257136,family,2002
277,The Bourne Supremacy ,176241941,114593328,290835269,action,2004
277,The Bourne Supremacy ,176241941,114593328,290835269,mystery,2004
277,The Bourne Supremacy ,176241941,114593328,290835269,thriller,2004
278,The Lego Batman Movie ,175750384,136200000,311950384,action,2017
278,The Lego Batman Movie ,175750384,136200000,311950384,adventure,2017
278,The Lego Batman Movie ,175750384,136200000,311950384,animation,2017
278,The Lego Batman Movie ,175750384,136200000,311950384,comedy,2017
278,The Lego Batman Movie ,175750384,136200000,311950384,family,2017
278,The Lego Batman Movie ,175750384,136200000,311950384,fantasy,2017
278,The Lego Batman Movie ,175750384,136200000,311950384,scifi,2017
279,Us ,175084580,80100902,255185482,horror,2019
279,Us ,175084580,80100902,255185482,mystery,2019
279,Us ,175084580,80100902,255185482,thriller,2019
280,The Boss Baby ,175003033,352962903,527965936,adventure,2017
280,The Boss Baby ,175003033,352962903,527965936,animation,2017
280,The Boss Baby ,175003033,352962903,527965936,comedy,2017
280,The Boss Baby ,175003033,352962903,527965936,family,2017
280,The Boss Baby ,175003033,352962903,527965936,fantasy,2017
281,Crazy Rich Asians ,174532921,64006277,238539198,comedy,2018
281,Crazy Rich Asians ,174532921,64006277,238539198,drama,2018
281,Crazy Rich Asians ,174532921,64006277,238539198,romance,2018
282,The Greatest Showman ,174340174,262609460,436949634,biography,2017
282,The Greatest Showman ,174340174,262609460,436949634,drama,2017
282,The Greatest Showman ,174340174,262609460,436949634,musical,2017
283,Fast & Furious Presents: Hobbs & Shaw ,173956935,585100000,759056935,action,2019
283,Fast & Furious Presents: Hobbs & Shaw ,173956935,585100000,759056935,adventure,2019
283,Fast & Furious Presents: Hobbs & Shaw ,173956935,585100000,759056935,thriller,2019
284,Apollo 13 ,173837933,181077570,355237933,adventure,1995
284,Apollo 13 ,173837933,181077570,355237933,drama,1995
284,Apollo 13 ,173837933,181077570,355237933,history,1995
285,Home Alone 2: Lost in New York ,173585516,185409334,358994850,adventure,1992
285,Home Alone 2: Lost in New York ,173585516,185409334,358994850,comedy,1992
285,Home Alone 2: Lost in New York ,173585516,185409334,358994850,crime,1992
285,Home Alone 2: Lost in New York ,173585516,185409334,358994850,family,1992
286,National Treasure ,173008894,174503424,347512318,action,2004
286,National Treasure ,173008894,174503424,347512318,adventure,2004
286,National Treasure ,173008894,174503424,347512318,mystery,2004
286,National Treasure ,173008894,174503424,347512318,thriller,2004
287,F9: The Fast Saga ,173005945,553223556,726229501,action,2021
287,F9: The Fast Saga ,173005945,553223556,726229501,crime,2021
287,F9: The Fast Saga ,173005945,553223556,726229501,thriller,2021
288,Air Force One ,172956409,142200000,315156409,action,1997
288,Air Force One ,172956409,142200000,315156409,drama,1997
288,Air Force One ,172956409,142200000,315156409,thriller,1997
289,Rain Man ,172825435,182000000,354825435,drama,1988
290,Pirates of the Caribbean: Dead Men Tell No Tales ,172558876,622322566,794881442,action,2017
290,Pirates of the Caribbean: Dead Men Tell No Tales ,172558876,622322566,794881442,adventure,2017
290,Pirates of the Caribbean: Dead Men Tell No Tales ,172558876,622322566,794881442,fantasy,2017
291,TRON: Legacy ,172062763,228001089,400063852,action,2010
291,TRON: Legacy ,172062763,228001089,400063852,adventure,2010
291,TRON: Legacy ,172062763,228001089,400063852,scifi,2010
292,Mary Poppins Returns ,171958438,177587704,349546142,adventure,2018
292,Mary Poppins Returns ,171958438,177587704,349546142,comedy,2018
292,Mary Poppins Returns ,171958438,177587704,349546142,family,2018
292,Mary Poppins Returns ,171958438,177587704,349546142,fantasy,2018
292,Mary Poppins Returns ,171958438,177587704,349546142,musical,2018
293,The Matrix ,171479930,295145800,466625730,action,1999
293,The Matrix ,171479930,295145800,466625730,scifi,1999
294,True Grit ,171243005,81033922,252276927,drama,2010
294,True Grit ,171243005,81033922,252276927,western,2010
295,Tarzan ,171091819,277100000,448191819,adventure,1999
295,Tarzan ,171091819,277100000,448191819,animation,1999
295,Tarzan ,171091819,277100000,448191819,comedy,1999
295,Tarzan ,171091819,277100000,448191819,drama,1999
295,Tarzan ,171091819,277100000,448191819,family,1999
295,Tarzan ,171091819,277100000,448191819,music,1999
296,John Wick: Chapter 3 - Parabellum ,171015687,156266092,327281779,action,2019
296,John Wick: Chapter 3 - Parabellum ,171015687,156266092,327281779,crime,2019
296,John Wick: Chapter 3 - Parabellum ,171015687,156266092,327281779,thriller,2019
297,A Beautiful Mind ,170742341,146048916,316791257,biography,2001
297,A Beautiful Mind ,170742341,146048916,316791257,drama,2001
298,Chicago ,170687518,136089214,306776732,comedy,2002
298,Chicago ,170687518,136089214,306776732,crime,2002
298,Chicago ,170687518,136089214,306776732,musical,2002
299,The Help ,169708112,46931000,216639112,drama,2011
300,Hotel Transylvania 2 ,169700110,305486596,475186706,adventure,2015
300,Hotel Transylvania 2 ,169700110,305486596,475186706,animation,2015
300,Hotel Transylvania 2 ,169700110,305486596,475186706,comedy,2015
300,Hotel Transylvania 2 ,169700110,305486596,475186706,family,2015
300,Hotel Transylvania 2 ,169700110,305486596,475186706,fantasy,2015
300,Hotel Transylvania 2 ,169700110,305486596,475186706,horror,2015
301,Hidden Figures ,169607287,66349611,235956898,biography,2016
301,Hidden Figures ,169607287,66349611,235956898,drama,2016
301,Hidden Figures ,169607287,66349611,235956898,history,2016
302,Bridesmaids ,169106725,119276798,288383523,comedy,2011
302,Bridesmaids ,169106725,119276798,288383523,romance,2011
303,Quantum of Solace ,168368427,421212055,589580482,action,2008
303,Quantum of Solace ,168368427,421212055,589580482,adventure,2008
303,Quantum of Solace ,168368427,421212055,589580482,thriller,2008
304,Wild Hogs ,168273550,85351877,253625427,action,2007
304,Wild Hogs ,168273550,85351877,253625427,adventure,2007
304,Wild Hogs ,168273550,85351877,253625427,comedy,2007
305,Kong: Skull Island ,168052812,398600000,566652812,action,2017
305,Kong: Skull Island ,168052812,398600000,566652812,adventure,2017
305,Kong: Skull Island ,168052812,398600000,566652812,fantasy,2017
305,Kong: Skull Island ,168052812,398600000,566652812,scifi,2017
306,Three Men and a Baby ,167780960,167780960,167780960,comedy,1987
